,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_leaf_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
29,0.006834220886230469,3.6970227653767216e-05,0.11320376396179199,0.003521397589706249,distance,1,19,13,"{'weights': 'distance', 'p': 1, 'n_neighbors': 19, 'leaf_size': 13}",0.5541603058181197,0.7315297578349795,0.7510402715351,0.918615164580907,0.8237210650499763,0.7558133129638166,0.12032648415741767,67,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,0.004527044296264648,6.231212673620166e-05,0.07779078483581543,0.0008734715949335474,uniform,1,4,11,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 4, 'leaf_size': 11}",0.6319562375559413,0.8413948256467941,0.7620922384701913,0.9598525742455006,0.8852704127574261,0.8161132577351706,0.11217391807494242,4,0.888688156346107,0.8501303281328207,0.8683651768577907,0.8591272166741302,0.8188545672442523,0.8570330890510203,0.022978653161847298
31,0.004651021957397461,0.00017246016777399125,0.08298611640930176,0.004467538400615296,uniform,1,16,39,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 16, 'leaf_size': 39}",0.5776957595430599,0.7620922384701913,0.703704043847507,0.918615164580907,0.7966739195824638,0.7517562252048258,0.11186813302073374,81,0.7815593143336087,0.7314752294236107,0.770173199041812,0.758358753551727,0.7302469304517336,0.7543626853604984,0.020547519584804236
32,0.0049283504486083984,0.00046938182056377947,0.08209543228149414,0.00488603729064358,uniform,1,13,25,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'leaf_size': 25}",0.5776957595430599,0.703704043847507,0.7257846945650099,0.918615164580907,0.8237210650499763,0.7499041455172921,0.11513841328693598,88,0.7713464045084225,0.74801914599454,0.7775957123029265,0.7551602419895325,0.7507590076214695,0.7605761024833781,0.011739255315388839
33,0.00633397102355957,0.000867649656668359,0.030367374420166016,0.003067497878721497,uniform,2,15,25,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 15, 'leaf_size': 25}",0.5776957595430599,0.7620922384701913,0.7257846945650099,0.918615164580907,0.7966739195824638,0.7561723553483264,0.11030901429264924,63,0.7459668002494113,0.7551602419895325,0.7582194891451612,0.7463891272586417,0.7388958454643235,0.748926300821414,0.006943072802471457
34,0.006881046295166016,0.00012967852812240495,0.020221233367919922,0.00217930791072503,distance,2,13,29,"{'weights': 'distance', 'p': 2, 'n_neighbors': 13, 'leaf_size': 29}",0.5776957595430599,0.823871549586303,0.7510402715351,0.918615164580907,0.8237210650499763,0.7789887620590693,0.11385162872155491,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,0.006798076629638672,9.272924601236358e-05,0.03565645217895508,0.0079364664922373,uniform,2,12,19,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 12, 'leaf_size': 19}",0.5776957595430599,0.7315297578349795,0.7510402715351,0.918615164580907,0.7782896421160245,0.7514341191220142,0.1088596136125448,83,0.7856708920110734,0.7507083955998433,0.8017047055508594,0.7582194891451612,0.7388958454643235,0.7670398655542522,0.02317484885179305
36,0.004969406127929688,0.0011486406615424005,0.07908735275268555,0.013809806397150275,distance,1,17,21,"{'weights': 'distance', 'p': 1, 'n_neighbors': 17, 'leaf_size': 21}",0.5776957595430599,0.7315297578349795,0.7510402715351,0.918615164580907,0.7966739195824638,0.7551109746153021,0.11000900097554711,68,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37,0.006476402282714844,0.0009369821524151638,0.018709468841552734,0.001537316293618986,distance,2,13,5,"{'weights': 'distance', 'p': 2, 'n_neighbors': 13, 'leaf_size': 5}",0.5776957595430599,0.823871549586303,0.7510402715351,0.918615164580907,0.8237210650499763,0.7789887620590693,0.11385162872155491,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,0.0076273918151855465,0.0010808120197630675,0.12903299331665039,0.0024941228066248907,uniform,1,14,23,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 14, 'leaf_size': 23}",0.5776957595430599,0.7620922384701913,0.703704043847507,0.918615164580907,0.7782896421160245,0.7480793697115379,0.11062659946044702,89,0.7741183805893768,0.7624654590951699,0.7737947532124996,0.7344462958166059,0.7388958454643235,0.7567441468355952,0.016976905561541626
39,0.005855131149291992,0.0011760167791545696,0.09998650550842285,0.0202980713947586,distance,1,7,27,"{'weights': 'distance', 'p': 1, 'n_neighbors': 7, 'leaf_size': 27}",0.5776957595430599,0.7784759128622006,0.7510402715351,0.9598525742455006,0.8237210650499763,0.7781571166471675,0.12329597991646009,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,0.007420110702514649,0.002650006195529533,0.03040318489074707,0.005905973163720352,uniform,2,1,7,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 1, 'leaf_size': 7}",0.7510402715351,0.6807084400306089,0.8532477818768943,0.962280755272859,0.8237210650499763,0.8141996627530876,0.09523910742297462,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,0.006856536865234375,0.0001560538462796264,0.018370532989501955,0.0009461853020289145,distance,2,1,11,"{'weights': 'distance', 'p': 2, 'n_neighbors': 1, 'leaf_size': 11}",0.7510402715351,0.6807084400306089,0.8532477818768943,0.962280755272859,0.8237210650499763,0.8141996627530876,0.09523910742297462,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,0.005722856521606446,0.0013646903576707064,0.0889625072479248,0.01481687156798177,uniform,1,14,37,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 14, 'leaf_size': 37}",0.5776957595430599,0.7620922384701913,0.703704043847507,0.918615164580907,0.7782896421160245,0.7480793697115379,0.11062659946044702,89,0.7741183805893768,0.7624654590951699,0.7737947532124996,0.7344462958166059,0.7388958454643235,0.7567441468355952,0.016976905561541626
43,0.006307411193847656,0.0008782599979173572,0.03268518447875977,0.00771926311762173,uniform,2,15,39,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 15, 'leaf_size': 39}",0.5776957595430599,0.7620922384701913,0.7257846945650099,0.918615164580907,0.7966739195824638,0.7561723553483264,0.11030901429264924,63,0.7459668002494113,0.7551602419895325,0.7582194891451612,0.7463891272586417,0.7388958454643235,0.748926300821414,0.006943072802471457
44,0.005225038528442383,0.000931917281511257,0.08480453491210938,0.008981756740833732,uniform,1,14,21,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 14, 'leaf_size': 21}",0.5776957595430599,0.7620922384701913,0.703704043847507,0.918615164580907,0.7782896421160245,0.7480793697115379,0.11062659946044702,89,0.7741183805893768,0.7624654590951699,0.7737947532124996,0.7344462958166059,0.7388958454643235,0.7567441468355952,0.016976905561541626
45,0.006783962249755859,0.0006675535097280323,0.01849842071533203,0.0008367369785743649,distance,2,11,15,"{'weights': 'distance', 'p': 2, 'n_neighbors': 11, 'leaf_size': 15}",0.5776957595430599,0.7784759128622006,0.7510402715351,0.9206974128233971,0.7782896421160245,0.7612397997759563,0.10936814541563873,49,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46,0.006666946411132813,5.777397262683362e-05,0.018439102172851562,0.000148792479561012,distance,2,8,37,"{'weights': 'distance', 'p': 2, 'n_neighbors': 8, 'leaf_size': 37}",0.5776957595430599,0.7784759128622006,0.7968511125745006,0.9598525742455006,0.8237210650499763,0.7873192848550477,0.12264086503392944,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,0.006828498840332031,0.00022784891107462094,0.030794620513916016,0.0014708765344189564,uniform,2,17,19,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 17, 'leaf_size': 19}",0.5776957595430599,0.7315297578349795,0.7510402715351,0.918615164580907,0.7966739195824638,0.7551109746153021,0.11000900097554711,68,0.759732699536374,0.717243964789844,0.7463891272586417,0.7463891272586417,0.746439734980363,0.7432389307647729,0.013984815249800494
48,0.006716489791870117,0.0001111741513868261,0.01772317886352539,0.00054384630622078,distance,2,1,35,"{'weights': 'distance', 'p': 2, 'n_neighbors': 1, 'leaf_size': 35}",0.7510402715351,0.6807084400306089,0.8532477818768943,0.962280755272859,0.8237210650499763,0.8141996627530876,0.09523910742297462,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,0.007897090911865235,0.0021423879897902623,0.03355617523193359,0.004735541435336248,uniform,2,17,9,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 17, 'leaf_size': 9}",0.5776957595430599,0.7315297578349795,0.7510402715351,0.918615164580907,0.7966739195824638,0.7551109746153021,0.11000900097554711,68,0.759732699536374,0.717243964789844,0.7463891272586417,0.7463891272586417,0.746439734980363,0.7432389307647729,0.013984815249800494
50,0.006743764877319336,8.836702165137732e-05,0.018796348571777345,0.00014782402585450274,distance,2,15,13,"{'weights': 'distance', 'p': 2, 'n_neighbors': 15, 'leaf_size': 13}",0.5776957595430599,0.7620922384701913,0.7257846945650099,0.918615164580907,0.7966739195824638,0.7561723553483264,0.11030901429264924,63,1.0,1.0,1.0,1.0,1.0,1.0,0.0
51,0.007184743881225586,0.0005643104362545295,0.03471255302429199,0.0060973450660868084,uniform,2,18,13,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 18, 'leaf_size': 13}",0.5241844769403825,0.7620922384701913,0.703704043847507,0.918615164580907,0.8237210650499763,0.7464633977777929,0.13197387591818371,93,0.7815593143336087,0.7620456466610313,0.7753687899229137,0.7382050609272464,0.7516518919230535,0.7617661407535706,0.015711794425425085
52,0.007125759124755859,0.00029365533913968365,0.1228858470916748,0.010080756560154003,uniform,1,17,19,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 17, 'leaf_size': 19}",0.5776957595430599,0.7315297578349795,0.7510402715351,0.918615164580907,0.7966739195824638,0.7551109746153021,0.11000900097554711,68,0.759732699536374,0.717243964789844,0.7463891272586417,0.7463891272586417,0.7269204466583616,0.7393350731003726,0.015216586610935025
53,0.006622695922851562,0.0011036774183211394,0.11976532936096192,0.0213307733881778,uniform,1,9,5,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9, 'leaf_size': 5}",0.6034870641169854,0.7315297578349795,0.7510402715351,0.9598525742455006,0.7966739195824638,0.7685167174630059,0.11516117917961011,40,0.8158234688469014,0.7741183805893768,0.7934689819104465,0.7624654590951699,0.7816039925332399,0.785496056595027,0.018211686177459916
