,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,0.10249800682067871,0.006495377980984419,0.005768394470214844,0.001277416617980479,l1,3.199,"{'penalty': 'l1', 'C': 3.199}",0.6547182765555194,0.8166572927845973,0.7486828664076032,0.962280755272859,0.750825395576527,0.7866329173194211,0.10186018213731769,65,0.9280050074679562,0.9280050074679562,0.9120029863624695,0.8892604203111264,0.896702827637506,0.910795249849403,0.0158502705914107
21,0.10753450393676758,0.007094742167129083,0.00511021614074707,0.0007093786607338392,l1,4.3340000000000005,"{'penalty': 'l1', 'C': 4.3340000000000005}",0.6782089934838971,0.7718739823105317,0.7718739823105317,1.0,0.7782896421160245,0.8000493200441972,0.10666444814225448,47,0.936277876077207,0.9622732235384021,0.9280050074679562,0.9120029863624695,0.9199320544788414,0.9316982295849752,0.01729617754923555
22,0.12565150260925292,0.011305458318619774,0.004719924926757812,0.0012984345022991448,l1,9.472,"{'penalty': 'l1', 'C': 9.472}",0.6289321748328134,0.7257846945650099,0.7718739823105317,1.0,0.7782896421160245,0.780976098764876,0.12184004332545176,75,0.9902112688899151,0.9806673721833482,0.9806673721833482,0.9806673721833482,0.9902131950093671,0.9844853160898653,0.004676007258437564
23,0.14487338066101074,0.001241785311188287,0.004542112350463867,0.0013086850231708673,l2,9.216,"{'penalty': 'l2', 'C': 9.216}",0.7315297578349795,0.8679175305839911,0.7968511125745006,1.0,0.7782896421160245,0.8349176086218991,0.09347301556585413,4,0.9713579438805788,0.9806673721833482,0.9806673721833482,0.9622732235384021,0.9902131950093671,0.9770358213590089,0.009488857530532569
24,0.11649303436279297,0.009382165812534182,0.004516744613647461,0.0003621968737372739,l2,1.3739999999999999,"{'penalty': 'l2', 'C': 1.3739999999999999}",0.6782089934838971,0.8413278632969932,0.7968511125745006,1.0,0.771671104837344,0.817611814838547,0.10564336537286123,34,0.9120029863624695,0.8892604203111264,0.8892604203111264,0.8610465754226935,0.889283453073872,0.8881707710962576,0.016169781739028468
25,0.06352477073669434,0.0055901162838783046,0.004848289489746094,8.516736142812637e-05,l2,0.095,"{'penalty': 'l2', 'C': 0.095}",0.6236626951475239,0.7721902213897955,0.6414833531833596,0.7718739823105317,0.6875521968931968,0.6993524897848815,0.06289949271508943,99,0.754453230514988,0.7231110992018815,0.7769728918652598,0.7394537409605688,0.7408407736699402,0.7469663472425276,0.017997115908684476
26,0.13995952606201173,0.022516868104691466,0.0064239978790283205,0.002388632810797616,l1,9.56,"{'penalty': 'l1', 'C': 9.56}",0.6289321748328134,0.7257846945650099,0.7718739823105317,1.0,0.7782896421160245,0.780976098764876,0.12184004332545176,75,0.9902112688899151,0.9806673721833482,0.9806673721833482,0.9806673721833482,0.9902131950093671,0.9844853160898653,0.004676007258437564
27,0.2090005874633789,0.0045121330410745055,0.010845804214477539,0.0019259400201202845,l2,1.503,"{'penalty': 'l2', 'C': 1.503}",0.6782089934838971,0.8413278632969932,0.7968511125745006,1.0,0.771671104837344,0.817611814838547,0.10564336537286123,34,0.9120029863624695,0.8892604203111264,0.8966814324875407,0.8678896948710082,0.896702827637506,0.8925074723339301,0.014364374896088486
28,0.17615585327148436,0.012199775472274778,0.008629179000854493,0.0020036093195721074,l2,0.9500000000000001,"{'penalty': 'l2', 'C': 0.9500000000000001}",0.6547182765555194,0.8166572927845973,0.7968511125745006,0.962280755272859,0.771671104837344,0.800435708404964,0.0985198261122342,44,0.8892604203111264,0.8678896948710082,0.8678896948710082,0.8477529567085876,0.8679175305839911,0.8681420594691444,0.013129192397354494
29,0.18348002433776855,0.011497330102732585,0.009785032272338868,0.0009400217892556538,l2,0.634,"{'penalty': 'l2', 'C': 0.634}",0.632966220337609,0.8413278632969932,0.7968511125745006,0.962280755272859,0.771671104837344,0.8010194112638611,0.10653690924882277,43,0.8892604203111264,0.8678896948710082,0.8477529567085876,0.8226198198665958,0.8543667485138703,0.8563779280542377,0.02205367957749207
30,0.19130296707153321,0.027462404055360386,0.0071527957916259766,0.0022671182244080536,l1,8.956999999999999,"{'penalty': 'l1', 'C': 8.956999999999999}",0.6289321748328134,0.7024201013240704,0.7718739823105317,1.0,0.7782896421160245,0.776303180116688,0.1242905898132628,79,0.9806673721833482,0.9806673721833482,0.9806673721833482,0.9806673721833482,0.9902131950093671,0.9825765367485519,0.0038183291304075607
31,0.12862005233764648,0.015067411161988759,0.0044285297393798825,0.000339077813532053,l1,5.698,"{'penalty': 'l1', 'C': 5.698}",0.6782089934838971,0.7257846945650099,0.7718739823105317,1.0,0.7782896421160245,0.7908314624950926,0.11061922341043477,56,0.9534040114795577,0.9713579438805788,0.9534040114795577,0.9534040114795577,0.9713636347030061,0.9605867226044517,0.008796988796972431
32,0.08459229469299316,0.005596072605248645,0.005071163177490234,0.0004039134425823553,l1,1.779,"{'penalty': 'l1', 'C': 1.779}",0.6127340136536147,0.7068367872865775,0.7068367872865775,0.962280755272859,0.771671104837344,0.7520718896673946,0.11668707647486216,92,0.8748697711238906,0.854335796374339,0.8748697711238906,0.8477529567085876,0.8543667485138703,0.8612390087689157,0.011387284727336865
33,0.09225516319274903,0.012019984558603881,0.004899740219116211,0.00023115396242656268,l1,1.946,"{'penalty': 'l1', 'C': 1.946}",0.5938395644027435,0.7270637148892779,0.7068367872865775,0.962280755272859,0.7966739195824638,0.7573389482867844,0.121447511930854,91,0.8892604203111264,0.8678896948710082,0.8748697711238906,0.854335796374339,0.8679175305839911,0.8708546426528712,0.011359434254152184
34,0.12233710289001465,0.011679766150681947,0.004734516143798828,0.00040933677509219084,l1,4.420000000000001,"{'penalty': 'l1', 'C': 4.420000000000001}",0.6782089934838971,0.7718739823105317,0.7718739823105317,1.0,0.7782896421160245,0.8000493200441972,0.10666444814225448,47,0.936277876077207,0.9622732235384021,0.9280050074679562,0.9120029863624695,0.9199320544788414,0.9316982295849752,0.01729617754923555
35,0.12506442070007323,0.010135056857302862,0.00417637825012207,0.0004765186199534181,l1,7.252000000000001,"{'penalty': 'l1', 'C': 7.252000000000001}",0.6289321748328134,0.7024201013240704,0.7718739823105317,1.0,0.7782896421160245,0.776303180116688,0.1242905898132628,79,0.9622732235384021,0.9713579438805788,0.9806673721833482,0.9534040114795577,0.9902131950093671,0.9715831492182507,0.01301390176380238
